id,created_at,author_id,text,clean_text
1972568957052915904,2025-09-29 07:47:42+00:00,1945577288487346176,GJ4Lc0 pqNLh9 F505ngd MW49 aXJWT IkN,gj4lc0 pqnlh9 f505ngd mw49 axjwt ikn
1972568458719027403,2025-09-29 07:45:43+00:00,1578222594,OIKN Ungkap 9.500 Orang ASN Pindah Bertahap ke IKN Hingga 2029 https://t.co/hd5PthTnNU,oikn 9.500 orang asn pindah bertahap ikn 2029
1972567371194986528,2025-09-29 07:41:24+00:00,1003546165105704962,"@Maudy_Apain @artchitex @DjolaFix Jokowi memang tidak sejago bung Karno kalau orasi, tapi ditangan santai Jokowi banyak hal terutama fasilitas publik menjadi semakin bagus.

Coba perhatikan saja stasiun-stasiun kereta hari ini, semua terlihat lebih bagus dari sebelumnya.

Ini belum ngomongin IKN yang tampilannya","jokowi sejago karno orasi, ditangan santai jokowi fasilitas publik bagus. coba perhatikan stasiun stasiun kereta ini, bagus sebelumnya. ngomongin ikn tampilannya"
1972566200359199060,2025-09-29 07:36:45+00:00,1903096584608608256,"@itsmrssham Syukur Alhamdulillah Cikpuan Fida dlm masakan lauk untuk pengunjung sempat juga tokmat buat IKN tenggiri masak kari dan terung potong kecil masak sambal dan hati ayam,jamu staff2 mkn td...","syukur alhamdulillah cikpuan fida dlm masakan lauk pengunjung tokmat ikn tenggiri masak kari terung potong masak sambal hati ayam,jamu staff2 mkn td..."
1972565196033184175,2025-09-29 07:32:45+00:00,174156881,"@DedynurPalakka @DiahOraAyu @artchitex @Maudy_Apain Dalam pledoi terkenalnya “Indonesia Menggugat” (1930), Soekarno menggelorakan soal rakyat kecil (Marhaenisme) yang ditindas kapitalisme, imperialisme. Jokowisme?  Dia gadaikan tanah Kalimantan n  IKN 190 tahun. 

Cuma retorika Kosong Matamu kuwi 🤑😫🤮","pledoi terkenalnya indonesia menggugat 1930 , soekarno menggelorakan rakyat marhaenisme ditindas kapitalisme, imperialisme. jokowisme? gadaikan tanah kalimantan n ikn 190 tahun. retorika kosong matamu kuwi"
1972559778451984882,2025-09-29 07:11:14+00:00,847372542830444544,"Prabowo Mau Pindahkan 9.500 ASN ke IKN Hingga 2029
https://t.co/YOhzbOwwII",prabowo pindahkan 9.500 asn ikn 2029
1972506033387167875,2025-09-29 03:37:40+00:00,1847126713521799168,"Bandar Udara Internasional Nusantara yang berlokasi di Ibu Kota Negara (IKN). Bandara ini dibangun oleh PT Hutama Karya (Persero) dan menjadi ikon kemajuan infrastruktur Indonesia.

#BUMNUntukIndonesia #BUMNCorner #BandaraNusantara #IKN #HutamaKarya #SetahunBerdampak https://t.co/6cnQbZPrqV",bandar udara internasional nusantara berlokasi kota negara ikn . bandara dibangun pt hutama karya persero ikon kemajuan infrastruktur indonesia.
1972503425163419694,2025-09-29 03:27:18+00:00,1683219709,"IKN hadir sebagai kota hijau, modern, dan berkelanjutan
Dengan transportasi umum, ruang jalan prioritas, serta fasilitas ramah lingkungan, Nusantara siap menjadi simbol kemajuan Indonesia.
#DukungIKN #IKNUntukIndonesia #NusantaraMaju #IKNBerkelanjutan https://t.co/MI4xcVPvlF","ikn hadir kota hijau, modern, berkelanjutan transportasi umum, ruang jalan prioritas, fasilitas ramah lingkungan, nusantara simbol kemajuan indonesia."
1972503421455585575,2025-09-29 03:27:17+00:00,1683219709,"IKN hadir sebagai kota hijau, modern, dan berkelanjutan
Dengan transportasi umum, ruang jalan prioritas, serta fasilitas ramah lingkungan, Nusantara siap menjadi simbol kemajuan Indonesia.
#DukungIKN #IKNUntukIndonesia #NusantaraMaju #IKNBerkelanjutan https://t.co/p7LFYwZHV4","ikn hadir kota hijau, modern, berkelanjutan transportasi umum, ruang jalan prioritas, fasilitas ramah lingkungan, nusantara simbol kemajuan indonesia."
1972503417521336414,2025-09-29 03:27:16+00:00,1683219709,"IKN hadir sebagai kota hijau, modern, dan berkelanjutan
Dengan transportasi umum, ruang jalan prioritas, serta fasilitas ramah lingkungan, Nusantara siap menjadi simbol kemajuan Indonesia. 
#DukungIKN #IKNUntukIndonesia #NusantaraMaju #IKNBerkelanjutan https://t.co/DFWlDmaE4Q","ikn hadir kota hijau, modern, berkelanjutan transportasi umum, ruang jalan prioritas, fasilitas ramah lingkungan, nusantara simbol kemajuan indonesia."
